CodiceArticolo;QuantitaVariazione;DisponibilitaAttuale;DisponibilitaPostImportazione
XEPR0640;-10409;0;0
XEPR1102;-7696;0;0
YEPS0974;-750;0;0
XEPR1100;-93;0;0
XEPR1758;-91;0;0
XEPC1022;-76;0;0
XEPR0094;-74;0;0
XEPR1127;-55;0;0
XEPC0021;-43;0;0
YEPS0800;-36;0;0
ZAP-C08416;-36;0;0
XEPC0177;-34;0;0
ZAP-E55105;-32;0;0
ZAP-C08690;-30;0;0
ZAP-E50221;-22;0;0
XEAD0029;-21;0;0
ZTP-E12650;-19;0;0
XEPR0951;-17;0;0
XEAD0440;-14;0;0
XEPR0050;-13;0;0
XEPR0063;-13;0;0
XEAD0057;-12;0;0
XEPR0056;-12;0;0
XEPC0036;-12;0;0
XEAI0017;-12;0;0
XEPR0864;-12;0;0
XEPR1344;-12;0;0
XEPC0134;-11;0;0
XEPR1092;-11;0;0
XEPR1757;-11;0;0
XEPR0718;-10;0;0
XEAD0447;-9;0;0
XEAT0060;-9;0;0
ZTP-E30229;-9;0;0
XEAD0028;-9;0;0
XEPC0112;-9;0;0
ZTP-E21715;-9;0;0
XEAM0053;-8;0;0
XEAD0074;-8;0;0
XEAI0492;-8;0;0
XEPI0202;-8;0;0
XEAI0381;-8;0;0
XEPR0399;-8;0;0
XEPC0316;-8;0;0
XEPR0083;-8;0;0
YEPS0463;-8;0;0
XEPC0415;-7;0;0
XEPR1259;-7;0;0
XEPR0052;-7;0;0
XEPR0568;-7;0;0
XEAR0003;-7;0;0
ZAP-E62010;-7;0;0
ZTP-E34029;-7;0;0
XEAT0016;-6;0;0
ZAP-E50102;-6;0;0
XEPR0051;-6;0;0
XEPC0097;-6;0;0
XEAD0009;-6;0;0
XEPC0462;-6;0;0
ZTP-E31042;-6;0;0
XEAD0036;-6;0;0
ZTP-E30502;-6;0;0
ZAP-E50917;-6;0;0
XEPC0003;-5;0;0
XEPT0017;-5;0;0
XEPC0013;-5;0;0
ZTP-E45055;-5;0;0
ZTP-E52018;-5;0;0
ZAP-E52003;-5;0;0
XEPR0596;-5;0;0
XEPR0538;-5;0;0
XEPC0477;-5;0;0
XEPR0263;-5;0;0
XEPR0035;-5;0;0
XEPC0039;-5;0;0
XEPC0022;-5;0;0
XEPR0599;-5;0;0
XEPC0448;-5;0;0
XEPR0032;-5;0;0
ZAP-E52374;-4;0;0
ZTP-E45057;-4;0;0
XEAD0004;-4;0;0
ZAP-E42028;-1;0;0
ZTP-E45020;-1;0;0
XEAI1420;0;0;0
ZAP-C08278;0;0;0
ZTP-E52023;0;0;0
ZTP-E50909;5;0;0
XEPR0363;80;0;0
XEPR0365;96;0;0
ZTP-E52017;995;0;0
